"caboozled_pie",215,198,3554.673251918676,24245.06342584267,204.32,3.76,392.27,"x+"
"blaarg",201,181,3516.337371941941,24201.757473702877,198.87,3.76,387.62,"x+"
"vincehd",198,153,3493.3832813453655,24178.76036614598,190.24,3.79,390.04,"x+"
"5han",581,466,3470.8734427723384,24144.590076263856,189.17,3.84,375.81,"x+"
"syakegohan",167,151,3467.9821223164427,24141.48998465814,207.18,4.08,396.69,"x+"
"turtle",288,219,3459.5263621894865,24131.213704123496,177.79,3.29,346.93,"x+"
"adripro1000",431,322,3460.150536473443,24124.95350903405,179.32,3.81,341.75,"x+"
"coffilter",235,180,3436.2493440261123,24102.3106003734,195.46,3.75,374.58,"x+"
"promooooooo",185,139,3417.9203620064172,24077.742143415853,202.87,4.1,394.07,"x+"
"kezdabez",91,78,3388.3268353503718,24032.43419017309,166.33,3.13,330.17,"x+"
"flyingdiarrhea",168,118,3379.471979779065,24023.680383367584,189.17,3.51,376.38,"x+"
"anberdoodle",263,178,3370.5272146613634,24012.101520531363,164.64,3.28,343.42,"x+"
"doremy",646,365,3371.1682483476156,24005.769437931463,159.14,3.08,317.66,"x+"
"run_",454,285,3363.584964803707,24000.249650242436,158.86,3.33,329.88,"x+"
"neko_murasame",338,239,3360.569804173342,23993.88323693688,169.57,3.47,336.15,"x+"
"memoria_",403,287,3358.774756406398,23989.60728915253,163.56,3.13,324.92,"x+"
"quantumhornet4",147,109,3313.9257718608847,23920.35391503033,166.42,3.2,329.17,"x+"
"coldless",205,127,3259.8471599897334,23837.021076208737,169.91,3.43,346.21,"x+"
"tiki2tgt",202,132,3249.3565294902737,23817.388694944413,155.13,2.59,326.19,"x+"
"nasom21",323,200,3249.440372057484,23816.00085966564,168.45,3.4,340.02,"x+"
"rumcajs",517,300,3246.453846123383,23813.431440854143,171.37,3.81,341.69,"x+"
"ergonomics",100,70,3235.8238454346015,23791.893003282785,151.86,2.83,316.42,"x+"
"tatoes",247,159,3233.9918506953263,23789.820170802872,157.54,3.23,322.68,"x+"
"sness_fanboy",256,171,3230.6324588394086,23786.13339362296,161.13,2.99,333.87,"x+"
"fortissim2",80,69,3217.09721801942,23761.23798349666,175.66,3.3,346.72,"x+"
"torawo",185,119,3207.267516268591,23742.697660314436,175.41,3.28,343.51,"x+"
"bazzy",199,124,3206.138131577238,23740.375023038498,157.96,3.26,325.15,"x+"
"cmdingo",320,175,3202.3512336358926,23736.116039072513,160.12,3.5,320.56,"x+"
"-error404-",78,68,3185.0152817164344,23700.766475493423,171.73,3.59,337,"x+"
"master101",294,176,3177.4632587085844,23687.442781127644,169.22,3.45,333.61,"x+"
"westl",60,55,3184.921559195681,23686.000678383534,216.88,4.75,403.81,"x+"
"unnamed",160,114,3171.88488780044,23676.376357108875,162.35,3.54,320.35,"x+"
"_2pc_",199,120,3171.469964919764,23676.232418164192,160.42,3.52,317.63,"x+"
"miku",332,199,3156.6906054620977,23649.357722033743,146.4,3.18,301.75,"x+"
"poisondrought",333,197,3156.2982678394105,23648.423754096402,146.05,2.9,300.76,"x+"
"lmlt",201,132,3155.851686374852,23647.58905422632,148.79,3.13,312.04,"x+"
"mewk",149,103,3156.194887796824,23644.183291960664,149.79,3.15,304.53,"x+"
"ponpoko",315,202,3149.873468067735,23632.875451212065,160.02,3.38,322.39,"x+"
"rideris",123,94,3158.7244160724636,23627.059086083078,173.37,3.39,334.97,"x+"
"lunchly",833,484,3144.553347496608,23625.369570980914,144.69,3.06,294.08,"x+"
"ql4707",84,68,3141.453310275096,23615.88830742285,178.6,3.53,353.79,"x+"
"3rotate",235,142,3137.0746312981682,23608.86538215647,148.09,2.81,302.05,"x+"
"h4y4",129,93,3135.7767648814947,23599.765707238465,152.64,3,307.41,"x+"
"yemomile",151,101,3132.5328108190843,23594.828688300942,142.84,3.1,286.81,"x+"
"akarin",101,79,3122.125982482659,23579.55391611446,150.38,3.12,304.4,"x+"
"zeledaki",237,168,3119.302520964616,23572.229517336884,135.72,2.83,291.4,"x+"
"mystery",375,216,3093.4586808364343,23520.688260290604,139.93,3.18,304.68,"x+"
"summ3rj",272,164,3068.4827562616465,23465.997043129417,150.85,3.22,301,"x+"
"kevinhe828",121,91,3065.205547736672,23457.96622942207,150.63,3.25,297.97,"x+"
"wigic",245,142,3049.320759992438,23425.00264066988,154.34,3.23,296.14,"x+"
